Course,Section,classtype,Title,Dept,Half,AV Requirements,Instructors,Anticipated Enrollment,Respect Room,Respect Time,Days 1,Start Time 1,End Time 1,Room 1,Days 2,Start Time 2,End Time 2,Room 2,Days 3,Start Time 3,End Time 3,Room 3
15.228,C,,SSIM: MBA Tour,GEM,H1,Tier,TBD,25,,,M ,6:00 PM,9:00 PM,E51-335,,,,,,,,
15.228,D,,SSIM: MBA Tour,GEM,H1,Tier,TBD,25,,,M ,6:00 PM,9:00 PM,E51-395,,,,,,,,
15.229,,,Managing Global Intergration,GEM,H2,Tier,J. Santos,33,,,"M, W",8:30 AM,10:00 AM,E62-250,,,,,,,,
15.S09,,,Intl Action Learning Lab,GEM,,Tier,"Y. Huang, M. Jester",76,,Y,"T, Th",4:00 PM,5:30 PM,E62-223,,,,,,,,
15.S04,,,The Euro Area Crisis,GEM,H1,Tier,A. Orphanides,60,,,M,4:00 PM,7:00 PM,E51-145,T,4:00 PM,7:00 PM,,W,4:00 PM,7:00 PM,
15.S05,,,"Central Banks, Monetary Policy and Glob. ",GEM,H2,Tier,S. Orphanides,60,,,M,4:00 PM,7:00 PM,E51-145,T,4:00 PM,7:00 PM,,W,4:00 PM,7:00 PM,
15.S07,,,Global Health Lab,GEM,,"Tier, video projector",A. Sastry,57,,,"T, Th",4:00 PM,5:30 PM,E62-250,,,,,,,,
15.268,,,Choice Points,Communication,,Tier,R. McKersie,40,,,F,10:00 AM,12:00 PM,E52-175,,,,,,,,
15.27, ,,"Ethical Practice: Prof., Social Resp.",Communication,,Tier,L. Hafrey,67, , ,"M, W",2:30 PM,4:00 PM,E62-262,,,,,,,,
15.279,A,,Management Communication for Undergraduates,Communication,,Tier,T. Heagney,25, ,y,"T, Th",11:30 AM,1:00 PM,E51-376,,,,,,,,
15.281,A,,Advanced Leadership Comm.,Communication,,Tier,N. Hartman,30,,Y,"M, W",1:00 PM,2:30 PM,E62-250,,,,,,,,
15.281,B ,,Advanced Leadership Comm.,Communication,,Tier,N. Hartman,30,,Y,"M, W",2:30 PM,4:00 PM,E62-250,,,,,,,,
15.281,C,,Advanced Leadership Comm.,Communication,,Tier,K. Blackburn,30,,,"T , Th",10:00 AM,11:30 AM,E62-221,,,,,,,,
15.28,B2,,Communication for Leaders,Communication,,Tier,M. Capek,67,,Y,"T , Th",2:30 PM,4:00 PM, E51-335,,,,,,,,
15.28,C1,,Communication for Leaders,Communication,,Tier,V. Healy-Tangney,67,,Y,"T , Th",4:00 PM,5:30 PM,E51-372,,,,,,,,
15.28,C2,,Communication for Leaders,Communication,,Tier,M. Capek,67,,Y,"T , Th",4:00 PM,5:30 PM, E51-335,,,,,,,,
15.28,D1,,Communication for Leaders,Communication,,Tier,C. Kelly,67,,Y,"T , Th",4:00 PM,5:30 PM,E51-145,,,,,,,,
15.28,D2,,Communication for Leaders,Communication,,Tier,R. Pittore,67,,Y,"T , Th",4:00 PM,5:30 PM, E51-325,,,,,,,,
15.28,E1,,Communication for Leaders,Communication,,Tier,N. Hartman,67,,Y,"T , Th",1:00 PM,2:30 PM, E51-325,,,,,,,,
15.28,E2,,Communication for Leaders,Communication,,Tier,V. Gauthier,67,,Y,"T , Th",1:00 PM,2:30 PM,E51-145,,,,,,,,
15.28,F1,,Communication for Leaders,Communication,,Tier,V. Gauthier,67,,Y,"T , Th",2:30 PM,4:00 PM,E51-145,,,,,,,,
15.28,F2,,Communication for Leaders,Communication,,Tier,N. Hartman,67,,Y,"T , Th",2:30 PM,4:00 PM, E51-325,,,,,,,,
15.S03,,,EnActing Leadership: Shakespeare,Communication,,Flat,C. Kelly,26,y,,W,4:00 PM,7:00 PM,E62-233,,,,,,,,
15.S03,,Breakout,EnActing Leadership: Shakespeare (break out space),Communication,,Flat,C. Kelly,26,,y,W,4:00 PM,7:00 PM,E62-221,,,,,,,,
15.301,,,Managerial Psychology Laboratory (meets w 15.310),Org Studies,,,P. Osterman,100,y,Y,"M , W ",11:00 AM,12:00 PM,E25-111,,,,,,,,
15.301,,Rec1,Managerial Psychology (lab 1),Org Studies,,,Prof. 82,35, , ,F ,11:00 AM,12:00 PM,E51-063,,,,,,,,
15.301,,Rec2,Managerial Psychology (lab 2),Org Studies,,,Prof. 71,35,,,F ,12:00 PM,1:00 PM,E51-145,,,,,,,,
15.301,,Rec3,Managerial Psychology (lab 3),Org Studies,,,Prof. 72,35,,,F ,12:00 PM,1:00 PM,E51-361,,,,,,,,
15.301,,Rec4,Managerial Psychology (lab 4),Org Studies,,,Prof. 73,35,,,F ,1:00 PM,2:00 PM,E51-063,,,,,,,,
15.301,,Rec5,Managerial Psychology (lab 5),Org Studies,,,Prof. 74,35,,,F ,10:00 AM,11:00 AM,E51-063,,,,,,,,
