Course,Section,classtype,Title,Dept,Half,AV Requirements,Instructors,Anticipated Enrollment,Respect Room,Respect Time,Days 1,Start Time 1,End Time 1,Room 1,Days 2,Start Time 2,End Time 2,Room 2,Days 3,Start Time 3,End Time 3,Room 3
15.232,,Lecture,Spec Sem in Mgmt: Business Models for Scale and Sustainability in Global Health (was 15.S02),GEM,H1,Tier,A. Sastry,80,,,"T, Th",1:00 PM,2:30 PM,E62-223,,,,,,,,
15.269,,Lecture,"Leadership Stories: Literature, Ethics, and Authority",COMM,,Video Projector,L. Hafrey,50,,,"M, W",2:30 PM,4:00 PM,E51-315,"M, W",1:00 PM,2:30 PM,E51-315,"M, W",10:00 AM,11:30 AM,E51-315
15.28,A1,Lecture,Communication for Leaders,COMM,,,R. Pittore,67,Y,Y,"T, Th",1:00 PM,2:30 PM,E51-335,,,,,,,,
15.28,A2,Lecture,Communication for Leaders,COMM,,,V. Healy-Tangney,67,Y,Y,"T, Th",1:00 PM,2:30 PM,E51-372,,,,,,,,
15.28,B1,Lecture,Communication for Leaders,COMM,,,J. Yates,67,Y,Y,"T, Th",2:30 PM,4:00 PM,E51-372,,,,,,,,
15.28,B2,Lecture,Communication for Leaders,COMM,,,T. TBD,67,Y,Y,"T, Th",2:30 PM,4:00 PM,E51-335,,,,,,,,
15.28,C1,Lecture,Communication for Leaders,COMM,,,V. Healy-Tangney,67,Y,Y,"T, Th",4:00 PM,5:30 PM,E51-372,,,,,,,,
15.28,C2,Lecture,Communication for Leaders,COMM,,,T. TBD,67,Y,Y,"T, Th",4:00 PM,5:30 PM,E51-335,,,,,,,,
15.28,D1,Lecture,Communication for Leaders,COMM,,,C. Kelly,67,Y,Y,"T, Th",4:00 PM,5:30 PM,E51-145,,,,,,,,
15.28,D2,Lecture,Communication for Leaders,COMM,,,R. Pittore,67,Y,Y,"T, Th",4:00 PM,5:30 PM,E51-325,,,,,,,,
15.28,E1,Lecture,Communication for Leaders,COMM,,,N. Hartman,67,Y,Y,"T, Th",1:00 PM,2:30 PM,E51-325,,,,,,,,
15.28,E2,Lecture,Communication for Leaders,COMM,,,K. Blackburn,67,Y,Y,"T, Th",1:00 PM,2:30 PM,E51-145,,,,,,,,
15.28,F1,Lecture,Communication for Leaders,COMM,,,K. Blackburn,67,Y,Y,"T, Th",2:30 PM,4:00 PM,E51-145,,,,,,,,
15.28,F2,Lecture,Communication for Leaders,COMM,,,N. Hartman,67,Y,Y,"T, Th",2:30 PM,4:00 PM,E51-325,,,,,,,,
15.301,A,Lecture,Managerial Psychology Laboratory  (meets w/15.310)  ,Org Stud,,,T. TBD,169,Y,Y,"M, W",11:00 AM,12:00 PM,4-163,,,,,,,,
15.301,A-lab,Recitation,Managerial Psychology (lab 1),Org Stud,,,T. TBD,15,,,F,11:00 AM,12:00 PM,,,,,,,,,
15.301,B-lab,Recitation,Managerial Psychology (lab 2),Org Stud,,,T. TBD,15,,,F,11:00 AM,12:00 PM,E51-372,,,,,,,,
15.301,C-lab,Recitation,Managerial Psychology (lab 3),Org Stud,,,T. TBD,15,,,F,11:00 AM,12:00 PM,E51-057,,,,,,,,
15.301,D-lab,Recitation,Managerial Psychology (lab 4),Org Stud,,,T. TBD,15,,,F,11:00 AM,12:00 PM,E51-151,,,,,,,,
15.301,E-lab,Recitation,Managerial Psychology (lab 5),Org Stud,,,T. TBD,15,,,F,10:00 AM,11:00 AM,E51-372,,,,,,,,
15.322,A,Lecture,Leading Organizations ,Org Stud,,,J. Van Maanen,60,,,F,8:00 AM,12:00 PM,E51-145,,,,,,,,
15.322,A-lab,Breakout Room,Leading Organizations II (breakout room1),Org Stud,,,J. Van Maanen,50,,,F,8:00 AM,12:00 PM,E51-376,,,,,,,,
15.322,B,Lecture,Leading Organizations ,Org Stud,,,J. Van Maanen,60,,,F,1:00 PM,5:00 PM,E51-145,,,,,,,,
15.322,B-lab,Breakout Room,Leading Organizations II (breakout room 2),Org Stud,,,J. Van Maanen,14,,,F,8:00 AM,12:00 PM,E51-393,,,,,,,,
15.322,C-lab,Breakout Room,Leading Organizations II (breakout room 3),Org Stud,,,J. Van Maanen,14,,,F,1:00 PM,5:00 PM,E51-393,,,,,,,,
15.322,D-lab,Breakout Room,Leading Organizations II (breakout room 4),Org Stud,,,J. Van Maanen,18,,,F,1:00 PM,5:00 PM,E51-385,,,,,,,,
15.322,E-lab,Breakout Room,Leading Organizations II (breakout room 5),Org Stud,,,J. Van Maanen,54,,,F,1:00 PM,5:00 PM,E51-376,,,,,,,,
15.325,,Lecture,"Seminar in Leadership (M E51-315, W E51-345)",Org Stud,,,"R. Reagans, S. Sacca",86,,,M,5:30 PM,8:00 PM,E51-315,,,,,,,,
15.341,,Lecture,"Individuals, Groups, and Organizations ",Org Stud,,,J. Curhan,20,Y,Y,F,9:00 AM,12:00 PM,E62-346,,,,,,,,
15.342,,Lecture,Organizations and Environments,Org Stud,,,R. Reagans,18,Y,Y,Th,9:00 AM,12:00 PM,E62-346,,,,,,,,
15.347,,Lecture,Doctoral Seminar in Research Methods I (meets with with 21A.861),Org Stud,,,"A. McCants, S. Silbey",20,Y,Y,T,9:00 AM,12:00 PM,E53-354,,,,,,,,
15.36,,Lecture,Introduction to Technological Entrepreneurship (restricted to E & I students),TIES,,,E. Roberts,100,Y,Y,W,4:00 PM,7:00 PM,E62-276,,,,,,,,
15.369,,Lecture,Corporate Entrepreneurship: Strategies for Technology-Based New Business Development,TIES,H2,,"A. Kacperczyk, V. Livada",80,,,T,4:00 PM,6:00 PM,E62-223,,,,,,,,
15.386,,Lecture,Managing in Adversity ,TIES,H2,,"H. Anderson, P. Kurzina",128,,,"T, Th",10:00 AM,11:30 AM,E51-345,,,,,,,,
15.387,,Lecture,Technology Sales and Sales Management,TIES,,,H. Anderson,105,,,"T, Th",4:00 PM,5:30 PM,E62-276,,,,,,,,
15.389, ,Lecture,"Global Entrepreneurship Lab: Asia-Pacific and Middle East (Fall'12, cont. thru IAP '13)",TIES,,," Y. Huang, M. Jester",76,,,"M, W",4:00 PM,5:30 PM,E62-276,,,,,,,,
15.389,rec,Recitation,"Global Entrepreneurship Lab: Asia-Pacific  (Fall'11, cont. thru IAP '12) (DO NOT PRINT)",TIES,,,M. Jester,76,,,Th,12:00 PM,1:00 PM,E62-223,,,,,,,,
15.39,A,Lecture,New Enterprises,TIES,,,W. Aulet,85,,,"M, W",2:30 PM,4:00 PM,E62-262,,,,,,,,
15.39,B,Lecture,New Enterprises,TIES,,,H. Anderson,80,Y,Y,"M, W",4:00 PM,5:30 PM,32-241,,,,,,,,
15.395,A,Lecture,Global Entrepreneurship I: Entrepreneurship Without Borders ,TIES,,,S. Johnson,76,,,"T, Th",10:00 AM,11:30 AM,E51-335,,,,,,,,
15.395,B,Lecture,Global Entrepreneurship I: Entrepreneurship Without Borders ,TIES,,,S. Johnson,76,,,"T, Th",1:00 PM,2:30 PM,E51-335,,,,,,,,
15.399,,Lecture,Entrepreneurship Lab ,TIES,,,"J. Dougherty, S. Stern",32,,,Th,6:00 PM,9:00 PM,E51-376,,,,,,,,
15.401,A,Lecture,Finance Theory I (meets wtih 15.411A),FIN,,,K. Milbradt,86,Y,Y,"M, W",1:00 PM,2:30 PM,2-190,,,,,,,,
15.401,A-rec,Recitation,Finance Theory I (sections A&B),FIN,,,K. Milbradt,86,Y,Y,F,1:00 PM,2:00 PM,E25-111,,,,,,,,
15.401,B,Lecture,Finance Theory I (meets with 15.411B),FIN,,,K. Milbradt,86,Y,Y,"M, W",2:30 PM,4:00 PM,2-190,,,,,,,,
15.401,C,Lecture,Finance Theory I (cohorts B1 & F) ,FIN,,,A. Lo,85,Y,Y,"M, W",1:00 PM,2:30 PM,E51-325,,,,,,,,
15.401,C-rec,Recitation,Finance Theory I (cohorts B1 & F),FIN,,,A. Lo,85,Y,Y,T,1:00 PM,2:00 PM,E62-233,,,,,,,,
15.401,D,Lecture,Finance Theory I (cohorts A & E2),FIN,,,A. Verdelhan,85,Y,Y,"M, W",2:30 PM,4:00 PM,E51-325,,,,,,,,
15.401,D-rec,Recitation,Finance Theory I (cohorts A & E2),FIN,,,A. Verdelhan,85,Y,Y,T,3:00 PM,4:00 PM,E62-233,,,,,,,,
15.401,E,Lecture,Finance Theory I  (cohorts B2 & C),FIN,,,A. Verdelhan,85,Y,Y,"M, W",10:00 AM,11:30 AM,E62-276,,,,,,,,
15.401,E-rec,Recitation,Finance Theory I  (cohorts B2 & C) ,FIN,,,A. Verdelhan,85,Y,Y,T,1:00 PM,2:00 PM,E62-233,,,,,,,,
15.402,A,Lecture,Finance Theory II,FIN,,,X. Giroud,86,,,"T, Th",1:00 PM,2:30 PM,E51-315,,,,,,,,
15.402,B,Lecture,Finance Theory II,FIN,,,X. Giroud,86,,,"T, Th",2:30 PM,4:00 PM,E51-315,,,,,,,,
15.403,,Lecture,Intro to the Practice of Finance,FIN,,,J. Parsons,105,,,M,4:00 PM,6:00 PM,E62-276,,,,,,,,
15.416 J,,Lecture,Introduction to Financial Economics,FIN,,,R. Watts,34,,,"M, W",2:30 PM,4:00 PM,E51-151,,,,,,,,
15.433,A,Lecture,Investments,FIN,,Tier ,J. Pan,55,,,"T, Th",10:00 AM,11:30 AM,E62-223,,,,,,,,
15.433,B,Lecture,Investments,FIN,,Tier ,J. Pan,55,,,"T, Th",1:00 PM,2:30 PM,E62-223,,,,,,,,
15.434,A,Lecture,Advanced Corporate Finance,FIN,,,N. Bergman,55,,,"M, W",1:00 PM,2:30 PM,E51-345,,,,,,,,
15.434,B,Lecture,Advanced Corporate Finance,FIN,,,N. Bergman,55,,,"M, W",2:30 PM,4:00 PM,E51-345,,,,,,,,
15.437,A,Lecture,Options and Futures Markets,FIN,,Tier ,H. Chen,60,,,"M, W",10:00 AM,11:30 AM,E62-250,,,,,,,,
15.437,B,Lecture,Options and Futures Markets,FIN,,Tier ,H. Chen,60,,,"M, W",1:00 PM,2:30 PM,E62-250,,,,,,,,
15.440 J,,Lecture,Advanced Financial Economics I,FIN,,, L. Kogan,36,,,"T, Th",10:00 AM,11:30 AM,E62-221,,,,,,,,
15.440 J,rec,Recitation,Advanced Financial Economics I,FIN,,,"H. Chen, L. Kogan, K. Milbradt",36,,,M,6:00 PM,7:30 PM,E51-372,,,,,,,,
15.443,,Lecture,Research Seminar in Finance (no credit),FIN,,,"X. Giroud, A. Malenko",85,,,W,4:00 PM,6:00 PM,E62-262,,,,,,,,
15.45,A,Lecture,Analytics of Finance ,FIN,,,L. Kogan,76,,,"T, Th",1:00 PM,2:30 PM,E62-276,,,,,,,,
15.45,A-rec,Recitation,Analytics of Finance ,FIN,,,L. Kogan,76,,,F,10:30 AM,12:00 PM,E62-276,,,,,,,,
15.45,B,Lecture,Analytics of Finance ,FIN,,,L. Kogan,90,,,"T, Th",2:30 PM,4:00 PM,E62-276,,,,,,,,
15.45,B-rec,Recitation,Analytics of Finance ,FIN,,,L. Kogan,90,,,Th,4:00 PM,5:30 PM,E51-395,,,,,,,,
15.451,,Lecture,Proseminar in Capital Markets/Investment Management ,FIN,,,M. Kritzman,80,,,Th,4:00 PM,6:00 PM,E62-262,,,,,,,,
15.452,A,Lecture,Proseminar in Corporate Finance/Investment Banking ,FIN,,,J. Parsons,50,,,T ,4:00 PM,5:30 PM,E62-262,,,,,,,,
15.452,B,Lecture,Proseminar in Corporate Finance/Investment Banking ,FIN,,,J. Parsons,50,,,T,6:00 PM,7:30 PM,E62-262,,,,,,,,
15.492,,Lecture,Foundations of Institutional Portfolio Management (was 15.S04),FIN,,,J. DeTore,57,,,M,4:00 PM,7:00 PM,E62-250,,,,,,,,
15.493,,Lecture,Practice of Finance: Perspectives on Investment Management (was 15.S20),FIN,H2,,J. Shames,76,,,W,4:00 PM,7:00 PM,E51-335,,,,,,,,
15.494,,Lecture,Practice of Finance: Multinational Business Finance (was 15.S10),FIN,,,C. Kane,54,,,T,4:00 PM,6:00 PM,E51-151,,,,,,,,
15.496,,Lecture,Spec Sem in Mgmt: Data Technologies for Quantitative Finance (prereq 15.401) (was S12),FIN,,Tier ,P. Mende,57,,,T,4:00 PM,6:00 PM,E62-250,,,,,,,,
15.501,A,Lecture,Corporate Financial Accounting (meets w/15.516),ACCT,,,N. Shroff,70,Y,Y,"M, W",1:00 PM,2:30 PM,1-190,,,,,,,,
15.501,B,Lecture,Corporate Financial Accounting (meets w/15.516),ACCT,,,N. Shroff,70,Y,Y,"M, W",2:30 PM,4:00 PM,1-190,,,,,,,,
15.515,A,Lecture,Financial Accounting ,ACCT,,,R. Petacchi,67,Y,Y,"T, Th",8:30 AM,10:00 AM,E62-223,,,,,,,,
15.515,A-rec,Recitation,Financial Accounting ,ACCT,,,R. Petacchi,67,Y,Y,Th,3:00 PM,4:00 PM,E51-085,,,,,,,,
15.515,B,Lecture,Financial Accounting ,ACCT,,,J. Core,67,Y,Y,"T, Th",8:30 AM,10:00 AM,E62-262,,,,,,,,
15.515,B-rec,Recitation,Financial Accounting ,ACCT,,,J. Core,67,Y,Y,Th,1:00 PM,2:00 PM,E51-085,,,,,,,,
15.515,C,Lecture,Financial Accounting ,ACCT,,,E. So,67,Y,Y,"T, Th",8:30 AM,10:00 AM,E62-276,,,,,,,,
15.515,C-rec,Recitation,Financial Accounting ,ACCT,,,E. So,67,Y,Y,Th,1:00 PM,2:00 PM,E62-233,,,,,,,,
15.515,D,Lecture,Financial Accounting ,ACCT,,,R. Petacchi,67,Y,Y,"T, Th",10:00 AM,11:30 AM,E62-223,,,,,,,,
15.515,D-rec,Recitation,Financial Accounting ,ACCT,,,R. Petacchi,67,Y,Y,Th,3:00 PM,4:00 PM,E51-149,,,,,,,,
15.515,E,Lecture,Financial Accounting ,ACCT,,,J. Core,67,Y,Y,"T, Th",10:00 AM,11:30 AM,E62-262,,,,,,,,
15.515,E-rec,Recitation,Financial Accounting ,ACCT,,,J. Core,67,Y,Y,Th,4:00 PM,5:00 PM,E51-085,,,,,,,,
15.515,F,Lecture,Financial Accounting ,ACCT,,,E. So,67,Y,Y,"T, Th",10:00 AM,11:30 AM,E62-276,,,,,,,,
15.515,F-rec,Recitation,Financial Accounting ,ACCT,,,E. So,67,Y,Y,Th,4:00 PM,5:00 PM,E51-149,,,,,,,,
15.535,A,Lecture,Business Analysis Using Financial Statements,ACCT,,,C. Noe,76,,,"M, W",1:00 PM,2:30 PM,E51-335,,,,,,,,
15.535,B,Lecture,Business Analysis Using Financial Statements ,ACCT,,,C. Noe,76,,,"M, W",2:30 PM,4:00 PM,E51-335,,,,,,,,
15.539,,Lecture,Doctoral Seminar in Accounting,ACCT,,,J. Core,20,,,T,1:00 PM,5:00 PM,E51-085,,,,,,,,
15.549,,Lecture,Workshop in Accounting and Control,ACCT,,,R. Verdi,20,Y,Y,Th,1:30 PM,3:00 PM,E62-687,,,,,,,,
15.567,,Lecture,"The Economics of Information: Strategy, Structure and Pricing ",IT,,,E. Brynjolfsson,42,,,"T, Th",1:00 PM,2:30 PM,E62-250,"M, W",10:00 AM,11:30 AM,E62-250,"M, W",1:00 PM,2:30 PM,E62-250
15.569,,Lecture,"Leadership Lab: Leading Sustainable Systems. Workshops Fri 9/21/12 from 4-7pm, Sat. 9/22/12 from 9-5pm, Sat. 2/9/13 from 9-4pm (Fall'12 and cont. thru IAP '13) ",IT,,,"W. Orlikowski, P. Senge",50,Y,Y, M,2:30 PM,5:30 PM,E62-233,,,,,,,,
15.569,rec,Recitation,"Leadership Lab: Leading Sustainable Systems. Workshops Fri 9/14/12 from 4-7pm, Sat. 9/15/12 from 9-5pm, Sat. 2/9/13 from 9-4pm (Fall'12 and cont. thru IAP '13) ",IT,,,"W. Orlikowski, P. Senge",50,Y,Y,"M, W",5:30 PM,6:30 PM,E62-233,,,,,,,,
15.615,,Lecture,Basic Business Law for the Entrepreneur and Manager ,LAW,,,J. Akula,67,,,"M, W",8:30 AM,10:00 AM,E51-149,,,,,,,,
15.616,,Lecture,"Basic Business Law, Tilted Towards Innovation and Strategy",LAW,,,J. Akula,67,,,"T, Th",8:30 AM,10:00 AM,E51-149,,,,,,,,
15.657 J,,Lecture,"Sustainability, Trade, and the Environment",IWER,,,N. Ashford,30,,,W,4:00 PM,6:30 PM,E51-376,,,,,,,,
15.665, ,Lecture,Power & Negotiation,IWER,,,J. Richardson,100,Y,Y,Th,2:30 PM,5:30 PM,E51-345,,,,,,,,
15.665,lab,Breakout Room,Power & Negotiation (breakout room),IWER,,,J. Richardson,40,Y,Y,Th ,2:30 PM,5:30 PM,E51-361,,,,,,,,
15.678 J,,Lecture,Political Econ. I: Theories of the State & the Economy,IWER,,,"S. Berger, M. Piore",20,Y,Y,T,3:00 PM,5:00 PM,E51-361,,,,,,,,
15.761,,Lecture,Introduction to Operations Management ,Op Mgmt,,,V. Farias,90,Y,Y,"M, W",1:00 PM,2:30 PM,E62-276,,,,,,,,
15.761,rec,Recitation,Introduction to Operations Management ,Op Mgmt,,,V. Farias,90,,Y,F,2:00 PM,3:00 PM,E51-345,,,,,,,,
15.767,,Lecture,Intro to Healthcare Delivery in the U.S.: Market & System Challenges (was 15.S03),Op Mgmt,,,V. Farias,40,,,"M, W",10:00 AM,11:30 AM,E62-250,,,,,,,,
15.769,,Lecture,Operations Strategy ,Op Mgmt,,,"D. Rosenfield, Z. Ton",40,,,"M, W",10:00 AM,11:30 AM,E62-250,"M, W",2:30 PM,4:00 PM,E62-250,"M, W",1:00 PM,2:30 PM,E62-250
15.770 J,,Lecture,Logistics Systems,Op Mgmt,,,"C. Caplice, Y. Sheffi",46,Y,Y,"M, W",8:30 AM,10:00 AM,E51-315,,,,,,,,
15.792 J,,Lecture,Global Operations Leadership Seminar,Op Mgmt,,,D. Rosenfield,85,,,M,4:00 PM,6:00 PM,E62-262,,,,,,,,
15.81,A,Lecture,"Marketing Management  (cohorts B, C & D)",MKTG,,,J. Hauser,57,Y,Y,"M, W",1:00 PM,2:30 PM,E62-250,,,,,,,,
15.81,B,Lecture,"Marketing Management (cohorts A, E & F)",MKTG,,,J. Hauser,57,,,"M, W",2:30 PM,4:00 PM,E62-250,,,,,,,,
15.821,A,Lecture,Listening to the Customer,MKTG,H1,Tier ,J. Lee,54,,,"T, Th",2:30 PM,4:00 PM,E51-151,,,,,,,,
15.821,B,Lecture,Listening to the Customer,MKTG,H1,Tier ,J. Lee,54,,,"T, Th",4:00 PM,5:30 PM,E51-151,,,,,,,,
15.822,A,Lecture,Strategic Market Measurement,MKTG,H2,Tier ,J. Lee,54,,,"T, Th",2:30 PM,4:00 PM,E51-151,,,,,,,,
15.822,B,Lecture,Strategic Market Measurement,MKTG,H2,Tier ,J. Lee,54,,,"T, Th",2:00 PM,5:30 PM,E51-151,,,,,,,,
15.833,,Lecture,Business-to-Business Marketing,MKTG,H2,,S. Chatterjee,38,,,"T, Th",10:00 AM,11:30 AM,E62-250,,,,,,,,
15.83,,Lecture,Spec Sem in Mgmt: Introduction to Enterprise Management ,MKTG,,,S. Chatterjee,51,,,M,4:00 PM,7:00 PM,E51-345,,,,,,,,
15.871,A,Lecture,Introduction to System Dynamics,Sys Dyn,H1,,J. Sterman,85,Y,Y,"M, W",1:00 PM,2:30 PM,E62-262,,,,,,,,
15.871,A-rec,Recitation,Introduction to System Dynamics ,Sys Dyn,H1,,J. Sterman,85,Y,Y,F,10:00 AM,11:30 AM,E51-335,,,,,,,,
15.871,B,Lecture,Introduction to System Dynamics ,Sys Dyn,H1,,J. Sterman,105,Y,Y,"M, W",10:00 AM,11:30 AM,E62-276,,,,,,,,
15.871,B-rec,Recitation,Introduction to System Dynamics,Sys Dyn,H1,,J. Sterman,85,Y,Y,F,2:30 PM,4:00 PM,E51-335,,,,,,,,
